id                  formula              space group
------------------  -------------------  ---------------
mp-9517-Togo18      N2TiSr               P4/nmm (129)
mp-557968-Togo18    Ba2Ti2Si2O9F2        Pbca (61)
mp-4531-Togo18      NO3Na                R-3c (167)
mp-7337-Togo18      B4O12Al3Nd           R32 (155)
mp-2175-Togo18      FTl                  Fm-3m (225)
mp-555966-Togo18    BaTi2O5              C2 (5)
mp-557074-Togo18    BaPr2Ti3O10          Cmcm (63)
mp-752648-Togo18    Ba3Br2O2             P2_1/c (14)
mp-14276-Togo18     F7RhPb2              P2_1/c (14)
mp-4468-Togo18      S2CuSb               Pnma (62)
mp-540621-Togo18    SrGa2Ge2O8           P2_1/c (14)
mp-29132-Togo18     OCl2Ru               Immm (71)
mp-721851-Togo18    BHO2                 P-43n (218)
mp-760502-Togo18    LiH2ClO              Cmcm (63)
mp-29946-Togo18     O2FI                 P2_12_12_1 (19)
mp-542445-Togo18    K2PaF7               C2/c (15)
mp-554899-Togo18    CsAlF4               P-62m (189)
mp-540795-Togo18    Ba3SrTa2O9           P6_3/mmc (194)
mp-16597-Togo18     O7Si2K3Er            P6_3/mcm (193)
mp-15790-Togo18     LiS2Ho               R-3m (166)
mp-5913-Togo18      O7Si2Pr2             P2_1/c (14)
mp-570311-Togo18    K4Sr2SnAs4           P6_3cm (185)
mp-752753-Togo18    SbO2F                C2/c (15)
mp-758925-Togo18    Na6Zn3As4H6O19       P2_13 (198)
mp-755184-Togo18    Sm2Se2O              Pnma (62)
mp-560456-Togo18    Hg2Te2O7             Aea2 (41)
mp-733-Togo18       O2Ge                 P3_121 (152)
mp-626878-Togo18    CaH2O2               C2 (5)
mp-27833-Togo18     Cl6TeTl2             Fm-3m (225)
mp-505138-Togo18    PdSe10K2             I-42d (122)
mp-505088-Togo18    NbTe4I               P2_1/c (14)
mp-14339-Togo18     K2Se4Pd3             Fddd (70)
mp-27210-Togo18     F4RbTl               Pbcm (57)
mp-560973-Togo18    SiO2                 Cmcm (63)
mp-24421-Togo18     H2O7Cl2Ba            C2/c (15)
mp-555199-Togo18    TlHgAsS3             Cmce (64)
mp-557662-Togo18    Ca2Mg5Si8O22F2       C2/m (12)
mp-10796-Togo18     O4SeHg               Pmn2_1 (31)
mp-540574-Togo18    Hg3I8Cs2             Cm (8)
mp-23730-Togo18     NaMgH3               Pnma (62)
mp-557940-Togo18    KNdC2O6              Pmn2_1 (31)
mp-7089-Togo18      MgKSb                P4/nmm (129)
mp-14444-Togo18     P2S6Hf               Fdd2 (43)
mp-18256-Togo18     B2O5Mg2              P2_1/c (14)
mp-3872-Togo18      MgAl2S4              Pnma (62)
mp-752691-Togo18    Sr3Hf2O7             Ccce (68)
mp-29286-Togo18     F4SbTl               P2_1/c (14)
mp-27968-Togo18     Li6O7Ge2             P2_1/c (14)
mp-9317-Togo18      S3KCuZr              Cmcm (63)
mp-618177-Togo18    K2ZnCl4              Pna2_1 (33)
mp-3721-Togo18      O3SrHf               I4/mcm (140)
mp-772199-Togo18    Rb3ClO               P6_3/mmc (194)
mp-541953-Togo18    Rb4Zr3Te16           C2/c (15)
mp-555483-Togo18    SiO2                 Fddd (70)
mp-8979-Togo18      O4InTa               P2/c (13)
mp-554749-Togo18    P3IrO9               Cc (9)
mp-542081-Togo18    LaP2S7K2             P2_1/c (14)
mp-540957-Togo18    Cs2TeI6              Fm-3m (225)
mp-13199-Togo18     O6Zn3Te              C2/c (15)
mp-12535-Togo18     K2ZnTe2              Ibam (72)
mp-560082-Togo18    Ho2Ge2O7             P4_12_12 (92)
mp-23048-Togo18     MnBr3Cs              P6_3/mmc (194)
mp-770932-Togo18    LiSbO3               C2/m (12)
mp-9731-Togo18      SeRbAu               Cmcm (63)
mp-568692-Togo18    In4Br7               R-3m (166)
mp-561536-Togo18    NaMgBO3              C2/c (15)
mp-28982-Togo18     Cl6PdPb2             P2_1/c (14)
mp-683974-Togo18    Pr2Se3O9             P2_1/c (14)
mp-15222-Togo18     CuSe4Rb2Nb           Fddd (70)
mp-9143-Togo18      LiF6P                R-3 (148)
mp-6694-Togo18      O9Si3ZrCs2           P6_3/m (176)
mp-733877-Togo18    CaB3H13O12           P2_1/c (14)
mp-5450-Togo18      F6K2Zr               C2/c (15)
mp-541393-Togo18    K3NaRe2O9            P6_3/mmc (194)
mp-578629-Togo18    BaIn2O4              P2_1/c (14)
mp-556356-Togo18    Na2SrAl4Si4O16       Iba2 (45)
mp-1943-Togo18      GaSe                 P6_3/mmc (194)
mp-7293-Togo18      PSe3Hg               C2/c (15)
mp-627016-Togo18    BaH2O2               P2_1/c (14)
mp-23675-Togo18     H4NBr                P4/nmm (129)
mp-30941-Togo18     O9Cd2Te3             P2_1/c (14)
mp-759638-Togo18    Y5Tm11O24            C2 (5)
mp-6711-Togo18      Li3F12Na3Al2         Ia-3d (230)
mp-10497-Togo18     C2Sr                 C2/c (15)
mp-14797-Togo18     Se3RbPt2             R-3m (166)
mp-4172-Togo18      Na5P3Ge              P2_1/c (14)
mp-752949-Togo18    BiOF                 R-3m (166)
mp-567890-Togo18    AgHg3As2Cl3          C2/c (15)
mp-7566-Togo18      O4PIn                Cmcm (63)
mp-10492-Togo18     F6SiRb2              Fm-3m (225)
mp-674508-Togo18    RbPbF3               R3c (161)
mp-6441-Togo18      O3FPK2               Pnma (62)
mp-624200-Togo18    Re3Se4Br             P2_1/c (14)
mp-16613-Togo18     O2AlAu               P6_3/mmc (194)
mp-560847-Togo18    Nb2TlPS10            Pc (7)
mp-557473-Togo18    K5LiGe2O7            P2_1/c (14)
mp-778064-Togo18    Ga3NO3               Pm (6)
mp-571222-Togo18    CsBr                 Fm-3m (225)
mp-24341-Togo18     H3BeCs               Pmmn (59)
mp-924129-Togo18    ZrNiSn               F-43m (216)
mp-31279-Togo18     P21Rb4I              Cmcm (63)
mp-17288-Togo18     Li2O4SiZn            P2_1/c (14)
mp-554641-Togo18    Sr3MgSi2O8           C2/c (15)
mp-23400-Togo18     O9InI3               P6_3 (173)
mp-19845-Togo18     O3TiPb               Pm-3m (221)
mp-753815-Togo18    CaY2O4               Fd-3m (227)
mp-754475-Togo18    Tm2SeO2              I4/mmm (139)
mp-31416-Togo18     Ho3TaO7              C222_1 (20)
mp-556999-Togo18    ErSeO3F              P2_1/c (14)
mp-22895-Togo18     CuI                  F-43m (216)
mp-541694-Togo18    Na3K2SiP3            Pnma (62)
mp-989547-Togo18    Rb2NaInCl6           Fm-3m (225)
mp-27559-Togo18     O9Na14Cd2            P-3 (147)
mp-555363-Togo18    Na2CdSi2O6           Pmn2_1 (31)
mp-28384-Togo18     GaBr2                Pnna (52)
mp-14646-Togo18     Li2O12Mg2S3          Pbcn (60)
mp-28952-Togo18     O4SPd                C2/c (15)
mp-17719-Togo18     SiS7AgLa3            P6_3 (173)
mp-29001-Togo18     NaCl4Lu              Pbcn (60)
mp-28217-Togo18     PS3Tl2               Pbca (61)
mp-755883-Togo18    NaDyO2               I4_1/amd (141)
mp-9890-Togo18      O3AgTa               R-3c (167)
mp-541722-Togo18    Ba2CsBr5             P2_1/c (14)
mp-27401-Togo18     O4NaI                I4_1/a (88)
mp-20620-Togo18     O6NbInBa2            Fm-3m (225)
