Number of images loaded: 10023
Loaded 9428 training samples
Loaded 496 validation samples
Loaded 104 test samples
EPOCH 1/300 	 train loss 0.06857778131961823 	 val loss 0.05605480074882507

EPOCH 2/300 	 train loss 0.048539407551288605 	 val loss 0.04280911013484001

EPOCH 3/300 	 train loss 0.039386946707963943 	 val loss 0.0404321551322937

EPOCH 4/300 	 train loss 0.03684648126363754 	 val loss 0.037338320165872574

EPOCH 5/300 	 train loss 0.03465985134243965 	 val loss 0.03548441082239151

EPOCH 6/300 	 train loss 0.03355235606431961 	 val loss 0.03574628755450249

EPOCH 7/300 	 train loss 0.03233189135789871 	 val loss 0.03298671171069145

EPOCH 8/300 	 train loss 0.031096376478672028 	 val loss 0.0329412966966629

EPOCH 9/300 	 train loss 0.030257802456617355 	 val loss 0.031019974499940872

EPOCH 10/300 	 train loss 0.02949346788227558 	 val loss 0.030062401667237282

EPOCH 11/300 	 train loss 0.02870131842792034 	 val loss 0.030542338266968727

EPOCH 12/300 	 train loss 0.02824905328452587 	 val loss 0.02908746339380741

EPOCH 13/300 	 train loss 0.02780446968972683 	 val loss 0.029295986518263817

EPOCH 14/300 	 train loss 0.027356399223208427 	 val loss 0.030019819736480713

EPOCH 15/300 	 train loss 0.02682492323219776 	 val loss 0.02932804450392723

EPOCH 16/300 	 train loss 0.026340896263718605 	 val loss 0.028552571311593056

EPOCH 17/300 	 train loss 0.025992920622229576 	 val loss 0.027737626805901527

EPOCH 18/300 	 train loss 0.025790462270379066 	 val loss 0.027384040877223015

EPOCH 19/300 	 train loss 0.02557164989411831 	 val loss 0.02703048475086689

EPOCH 20/300 	 train loss 0.025392621755599976 	 val loss 0.028456324711441994

EPOCH 21/300 	 train loss 0.025219500064849854 	 val loss 0.027482938021421432

EPOCH 22/300 	 train loss 0.025079326704144478 	 val loss 0.027003072202205658

EPOCH 23/300 	 train loss 0.024808868765830994 	 val loss 0.02718508057296276

EPOCH 24/300 	 train loss 0.02468680404126644 	 val loss 0.02693840116262436

EPOCH 25/300 	 train loss 0.024506373330950737 	 val loss 0.027920527383685112

EPOCH 26/300 	 train loss 0.02424728311598301 	 val loss 0.025528909638524055

EPOCH 27/300 	 train loss 0.024018745869398117 	 val loss 0.025264818221330643

EPOCH 28/300 	 train loss 0.023865988478064537 	 val loss 0.024746568873524666

EPOCH 29/300 	 train loss 0.023637104779481888 	 val loss 0.024803906679153442

EPOCH 30/300 	 train loss 0.023525478318333626 	 val loss 0.02495627850294113

EPOCH 31/300 	 train loss 0.02341405302286148 	 val loss 0.024704594165086746

EPOCH 32/300 	 train loss 0.02327914349734783 	 val loss 0.02587701380252838

EPOCH 33/300 	 train loss 0.02311747707426548 	 val loss 0.025179259479045868

EPOCH 34/300 	 train loss 0.022987181320786476 	 val loss 0.02514590695500374

EPOCH 35/300 	 train loss 0.0228758305311203 	 val loss 0.026620348915457726

EPOCH 36/300 	 train loss 0.022819695994257927 	 val loss 0.0238818246871233

EPOCH 37/300 	 train loss 0.02259535901248455 	 val loss 0.023753292858600616

EPOCH 38/300 	 train loss 0.02252739854156971 	 val loss 0.024040501564741135

EPOCH 39/300 	 train loss 0.022459840402007103 	 val loss 0.02454850822687149

EPOCH 40/300 	 train loss 0.022240860387682915 	 val loss 0.023871682584285736

EPOCH 41/300 	 train loss 0.02221010997891426 	 val loss 0.023943817242980003

EPOCH 42/300 	 train loss 0.022131139412522316 	 val loss 0.023508036509156227

EPOCH 43/300 	 train loss 0.0219965111464262 	 val loss 0.023110486567020416

EPOCH 44/300 	 train loss 0.02193300798535347 	 val loss 0.023293638601899147

EPOCH 45/300 	 train loss 0.021855229511857033 	 val loss 0.022878531366586685

EPOCH 46/300 	 train loss 0.021794751286506653 	 val loss 0.02282811887562275

EPOCH 47/300 	 train loss 0.021688397973775864 	 val loss 0.023441359400749207

EPOCH 48/300 	 train loss 0.02161315642297268 	 val loss 0.02297392673790455

EPOCH 49/300 	 train loss 0.02146238274872303 	 val loss 0.022793738171458244

EPOCH 50/300 	 train loss 0.021435244008898735 	 val loss 0.02360493876039982

EPOCH 51/300 	 train loss 0.021362219005823135 	 val loss 0.022566629573702812

EPOCH 52/300 	 train loss 0.02124757133424282 	 val loss 0.023568443953990936

EPOCH 53/300 	 train loss 0.02109960839152336 	 val loss 0.022285453975200653

EPOCH 54/300 	 train loss 0.02104208990931511 	 val loss 0.022497182711958885

EPOCH 55/300 	 train loss 0.02096896432340145 	 val loss 0.022858526557683945

EPOCH 56/300 	 train loss 0.020948318764567375 	 val loss 0.0231955386698246

EPOCH 57/300 	 train loss 0.020852936431765556 	 val loss 0.022183256223797798

EPOCH 58/300 	 train loss 0.020770546048879623 	 val loss 0.022344309836626053

EPOCH 59/300 	 train loss 0.020678387954831123 	 val loss 0.021644407883286476

EPOCH 60/300 	 train loss 0.02066984213888645 	 val loss 0.022188223898410797

EPOCH 61/300 	 train loss 0.020542630925774574 	 val loss 0.021876433864235878

EPOCH 62/300 	 train loss 0.02047785557806492 	 val loss 0.022699471563100815

EPOCH 63/300 	 train loss 0.020416194573044777 	 val loss 0.021935582160949707

EPOCH 64/300 	 train loss 0.020344778895378113 	 val loss 0.02183542400598526

EPOCH 65/300 	 train loss 0.02026117593050003 	 val loss 0.021230466663837433

EPOCH 66/300 	 train loss 0.020134154707193375 	 val loss 0.022050362080335617

EPOCH 67/300 	 train loss 0.020096054300665855 	 val loss 0.02124476432800293

EPOCH 68/300 	 train loss 0.019998785108327866 	 val loss 0.02208372764289379

EPOCH 69/300 	 train loss 0.019990818575024605 	 val loss 0.02153332345187664

EPOCH 70/300 	 train loss 0.01991884782910347 	 val loss 0.021824335679411888

EPOCH 71/300 	 train loss 0.019865861162543297 	 val loss 0.021139711141586304

EPOCH 72/300 	 train loss 0.01984965056180954 	 val loss 0.023325815796852112

EPOCH 73/300 	 train loss 0.019705502316355705 	 val loss 0.021208414807915688

EPOCH 74/300 	 train loss 0.019707215949892998 	 val loss 0.021004948765039444

EPOCH 75/300 	 train loss 0.01965075172483921 	 val loss 0.021969104185700417

EPOCH 76/300 	 train loss 0.019602451473474503 	 val loss 0.02142517641186714

EPOCH 77/300 	 train loss 0.019631734117865562 	 val loss 0.020908914506435394

EPOCH 78/300 	 train loss 0.019561856985092163 	 val loss 0.021065885201096535

EPOCH 79/300 	 train loss 0.01953333057463169 	 val loss 0.021530071273446083

EPOCH 80/300 	 train loss 0.019462741911411285 	 val loss 0.021596750244498253

EPOCH 81/300 	 train loss 0.019432056695222855 	 val loss 0.021308619529008865

EPOCH 82/300 	 train loss 0.01933261938393116 	 val loss 0.02103138156235218

EPOCH 83/300 	 train loss 0.01942022331058979 	 val loss 0.021932264789938927

EPOCH 84/300 	 train loss 0.019292620941996574 	 val loss 0.021351153030991554

EPOCH 85/300 	 train loss 0.019245197996497154 	 val loss 0.02167121320962906

EPOCH 86/300 	 train loss 0.019186947494745255 	 val loss 0.022398121654987335

EPOCH 87/300 	 train loss 0.019166912883520126 	 val loss 0.021093446761369705

